filename,width,height,class,xmin,ymin,xmax,ymax,image_id
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,89,60,115,85,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,65,60,87,84,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,35,54,61,85,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,8,53,37,86,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,10,40,37,65,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,29,20,63,66,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,89,153,111,178,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,191,145,216,176,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,138,202,164,234,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,193,245,216,271,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,219,264,242,289,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,tree,239,233,267,269,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,rock,219,158,237,179,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,98,135,158,166,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,167,175,218,204,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,189,116,233,147,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,54,79,107,109,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,32,115,86,149,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,48,5,107,37,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,1,22,53,53,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,car,158,25,203,53,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,rail,32,106,209,131,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,light off,148,96,177,133,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,lilypad,150,245,170,258,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,lilypad,176,243,195,258,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,lilypad,204,244,221,257,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,duck,172,232,191,254,0
Screenshot_20220701-151548_Crossy Road.jpg,291,333,truck,66,180,144,221,0
Screenshot_20220701-151710_Crossy Road.jpg,291,333,log,74,93,131,108,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,log,159,93,210,106,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,log,187,113,234,125,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,log,191,132,239,144,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,log,73,131,127,144,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,log,72,113,153,126,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,water,26,93,225,164,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,lilypad,99,151,118,163,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,lilypad,177,150,197,163,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,rock,143,175,169,197,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,rock,221,231,247,254,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,duck,173,227,190,252,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,car,103,246,147,272,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,car,108,191,174,221,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,car,27,40,76,71,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,car,119,282,179,314,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,car,220,301,277,323,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,tree,53,156,85,195,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,tree,192,165,216,197,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,tree,214,165,243,196,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,tree,113,52,139,84,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,tree,1,40,35,83,1
Screenshot_20220701-151710_Crossy Road.jpg,291,333,car,119,317,150,333,1
Screenshot_20220701-151625_Crossy Road.jpg,291,333,rail,17,84,200,107,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,light off,148,74,177,110,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,car,154,23,201,50,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,tree,10,31,37,63,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,truck,37,101,124,140,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,truck,1,92,53,128,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,truck,193,107,257,142,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,truck,80,137,165,182,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,truck,136,269,219,311,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,car,178,167,238,198,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,car,98,242,139,270,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,car,205,222,248,250,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,tree,139,120,165,154,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,tree,114,204,138,229,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,tree,217,198,244,229,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,tree,218,182,241,210,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,tree,218,252,243,286,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,rock,143,265,164,285,2
Screenshot_20220701-151625_Crossy Road.jpg,291,333,duck,172,261,184,279,2
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,17,39,41,72,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,36,26,67,72,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,97,45,119,71,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,1,41,16,69,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,87,157,118,201,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,149,175,170,200,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,224,170,247,200,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,189,267,222,310,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,197,262,221,292,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,tree,224,280,247,311,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,rock,153,124,176,150,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,water,87,211,283,279,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,log,96,209,176,225,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,log,90,228,137,242,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,log,97,246,148,261,3
Screenshot_20220701-152507_Crossy Road.jpg,291,333,log,191,228,247,243,3
